symbol	unit	chapter_at	chapter_n	later_at	later_n	chapter_line	later_line
agent.personalities	个	chapters/r8a-configuration-surface.md:422	28	notes/r8b-02-h1-h2-config-debt.md:46	14	**28 个只存在于 CLI 这一份里**(15 个是 `agent.personalities` 及其 14 条人格文本,剩下 13 个是真开关)。	| 人格相关 | 15 | `agent.personalities` + 其 14 个叶子 |
agent.personalities	个	chapters/r8a-configuration-surface.md:1399	2	notes/r8b-02-h1-h2-config-debt.md:46	14	`clarify.timeout`(用**遗留键名**对齐两代配置)、`agent.personalities`(两个面靠	| 人格相关 | 15 | `agent.personalities` + 其 14 个叶子 |
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-02-h1-h2-config-debt.md:54	14	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	`cli.py` 的默认值里,人格挂在 **`agent.personalities`** 下,带 14 个内置人格:
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-02-h1-h2-config-debt.md:54	14	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	`cli.py` 的默认值里,人格挂在 **`agent.personalities`** 下,带 14 个内置人格:
agent.personalities	个	chapters/r8a-configuration-surface.md:422	28	notes/r8b-02-h1-h2-config-debt.md:54	14	**28 个只存在于 CLI 这一份里**(15 个是 `agent.personalities` 及其 14 条人格文本,剩下 13 个是真开关)。	`cli.py` 的默认值里,人格挂在 **`agent.personalities`** 下,带 14 个内置人格:
agent.personalities	个	chapters/r8a-configuration-surface.md:1399	2	notes/r8b-02-h1-h2-config-debt.md:54	14	`clarify.timeout`(用**遗留键名**对齐两代配置)、`agent.personalities`(两个面靠	`cli.py` 的默认值里,人格挂在 **`agent.personalities`** 下,带 14 个内置人格:
DEFAULT_CONFIG	个	chapters/r8a-configuration-surface.md:230	82	notes/r8b-02-h1-h2-config-debt.md:63	1	**只有用户真正写下的键才可以被桥进环境。** 否则 `DEFAULT_CONFIG` 的 82 个顶层键	而 `DEFAULT_CONFIG` 里根本没有 `agent.personalities`——它有的是一个**顶层** `personalities`,
DEFAULT_CONFIG	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-02-h1-h2-config-debt.md:63	1	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	而 `DEFAULT_CONFIG` 里根本没有 `agent.personalities`——它有的是一个**顶层** `personalities`,
DEFAULT_CONFIG	个	chapters/r8a-configuration-surface.md:1759	23	notes/r8b-02-h1-h2-config-debt.md:63	1	- `data/r8a-extra-root-keys.tsv` —— **23 个**不在 `DEFAULT_CONFIG` 里但合法的根键。	而 `DEFAULT_CONFIG` 里根本没有 `agent.personalities`——它有的是一个**顶层** `personalities`,
agent.personalities	个	chapters/r8a-configuration-surface.md:422	28	notes/r8b-02-h1-h2-config-debt.md:63	1	**28 个只存在于 CLI 这一份里**(15 个是 `agent.personalities` 及其 14 条人格文本,剩下 13 个是真开关)。	而 `DEFAULT_CONFIG` 里根本没有 `agent.personalities`——它有的是一个**顶层** `personalities`,
agent.personalities	个	chapters/r8a-configuration-surface.md:1399	2	notes/r8b-02-h1-h2-config-debt.md:63	1	`clarify.timeout`(用**遗留键名**对齐两代配置)、`agent.personalities`(两个面靠	而 `DEFAULT_CONFIG` 里根本没有 `agent.personalities`——它有的是一个**顶层** `personalities`,
agent.personalities	个	chapters/r8a-configuration-surface.md:422	28	notes/r8b-02-h1-h2-config-debt.md:75	14	**28 个只存在于 CLI 这一份里**(15 个是 `agent.personalities` 及其 14 条人格文本,剩下 13 个是真开关)。	**两个装载器把同一个概念放在了不同层级**:CLI 面 `agent.personalities`(有 14 个内置),
agent.personalities	个	chapters/r8a-configuration-surface.md:1399	2	notes/r8b-02-h1-h2-config-debt.md:75	14	`clarify.timeout`(用**遗留键名**对齐两代配置)、`agent.personalities`(两个面靠	**两个装载器把同一个概念放在了不同层级**:CLI 面 `agent.personalities`(有 14 个内置),
agent.personalities	条	chapters/r8a-configuration-surface.md:422	14	notes/r8b-02-h1-h2-config-debt.md:169	1	**28 个只存在于 CLI 这一份里**(15 个是 `agent.personalities` 及其 14 条人格文本,剩下 13 个是真开关)。	**结论 ■-R8B-01(高置信,已实跑复现)**:`agent.personalities` 是 CLI 专属键(H-1 名单第一条),
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-02-h1-h2-config-debt.md:251	8	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	这 8 个叶子在 `cli.py` 内部的唯一消费点是环境变量桥,四个读取点**全部带 `""` 兜底**:
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-02-h1-h2-config-debt.md:251	8	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	这 8 个叶子在 `cli.py` 内部的唯一消费点是环境变量桥,四个读取点**全部带 `""` 兜底**:
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-02-h1-h2-config-debt.md:344	2	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	本轮实测 `cli.py` 的 `browser.camofox` 只有 **2 个**叶子
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-02-h1-h2-config-debt.md:347	6	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	R8A 的对照本身成立(两侧键数不同),**但"一边 6 个"说的是主装载器侧、不是 `cli.py` 侧**,
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-02-h1-h2-config-debt.md:347	6	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	R8A 的对照本身成立(两侧键数不同),**但"一边 6 个"说的是主装载器侧、不是 `cli.py` 侧**,
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-90-handover-rulings.md:40	35	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	> (「mixin 与 `cli.py` 之间 35 个方法名的隐式跨文件接口」)**撞号**——
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-90-handover-rulings.md:40	35	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	> (「mixin 与 `cli.py` 之间 35 个方法名的隐式跨文件接口」)**撞号**——
config.yaml	个	chapters/r8a-configuration-surface.md:18	6	notes/r8b-90-handover-rulings.md:132	1	3. 但**同一份 `config.yaml` 有六个读取函数**(本轮清点为五个,R8B 补上了启动最早期的	**后果**:用户把 `config.yaml` 改坏(哪怕只是一个缩进),再跑一次会走到这条路的命令
config.yaml	个	chapters/r8a-configuration-surface.md:25	2	notes/r8b-90-handover-rulings.md:132	1	两个系统之间的桥还是**双向**的:`config.yaml` 的顶层标量会反过来变成环境变量。	**后果**:用户把 `config.yaml` 改坏(哪怕只是一个缩进),再跑一次会走到这条路的命令
config.yaml	个	chapters/r8a-configuration-surface.md:343	2	notes/r8b-90-handover-rulings.md:132	1	这不是纸上推演。同一个 `HERMES_HOME`,同一份只设了两个嵌套叶子键的 `config.yaml`:	**后果**:用户把 `config.yaml` 改坏(哪怕只是一个缩进),再跑一次会走到这条路的命令
cli.py	份	chapters/r8a-configuration-surface.md:325	1	notes/r8b-90-handover-rulings.md:655	8	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	| H-R8B-c | R8C | 平台就绪判定("某平台是否配好了")的 8 份实现 —— `gateway/config.py`、`cron/scheduler.py`、`hermes_cli/gateway.py`、`hermes_c
cli.py	份	chapters/r8a-configuration-surface.md:463	2	notes/r8b-90-handover-rulings.md:655	8	**而 `cli.py` 的第二份默认值把老写法钉死了:**	| H-R8B-c | R8C | 平台就绪判定("某平台是否配好了")的 8 份实现 —— `gateway/config.py`、`cron/scheduler.py`、`hermes_cli/gateway.py`、`hermes_c
hermes_cli/commands.py	条	chapters/r7c-gateway-periphery-and-scheduling.md:161	94	notes/r8b-raw-cli-dispatch.md:14	1	- **元数据的真源**在 `hermes_cli/commands.py` 的 `COMMAND_REGISTRY`,**94 条**。	| 1 | `process_command` 是"命令名 → handler"的单一 dispatch table | **假** | 是一条 **85 分支的 `if/elif` 长链**(`cli.py:9863-10355`),按 
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-cli-dispatch.md:208	1	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	为什么作者忍受一条 700 行的 if 链?从注释能读出取舍:注册表被设计成"加一个别名只改一行"(`cli.py:9849-9850`),但 handler 绑定被**故意**留在 `cli.py` 里,因为绝大多数 handler 需要
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-cli-dispatch.md:208	1	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	为什么作者忍受一条 700 行的 if 链?从注释能读出取舍:注册表被设计成"加一个别名只改一行"(`cli.py:9849-9850`),但 handler 绑定被**故意**留在 `cli.py` 里,因为绝大多数 handler 需要
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-cli-dispatch.md:216	51	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	`CLICommandsMixin` 里有 51 个 `def _handle_*`,`cli.py` 自己只有 6 个。也就是说 mixin 提供的是**方法**,通过普通属性查找被 elif 链调用——**它不是"另一个分发器"**。前
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-cli-dispatch.md:216	51	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	`CLICommandsMixin` 里有 51 个 `def _handle_*`,`cli.py` 自己只有 6 个。也就是说 mixin 提供的是**方法**,通过普通属性查找被 elif 链调用——**它不是"另一个分发器"**。前
interrupt_then_dispatch	个	chapters/r7c-gateway-periphery-and-scheduling.md:168	3	notes/r8b-raw-cli-dispatch.md:819	18	`dispatch`(23 条,忙时也照跑)、`interrupt_then_dispatch`(**2 条注册项,对应三个可敲的名字**:	用注册表统计:CLI 可见命令中声明 `busy_policy="dispatch"` 的有 **18 个** —— `background, agents, queue, steer, goal, heartbeat, subgoal, 
interrupt_then_dispatch	个	chapters/r7c-gateway-periphery-and-scheduling.md:174	2	notes/r8b-raw-cli-dispatch.md:819	18	> 按 AST 直读注册表复算:`interrupt_then_dispatch` 落在 **2 个** `CommandDef` 上	用注册表统计:CLI 可见命令中声明 `busy_policy="dispatch"` 的有 **18 个** —— `background, agents, queue, steer, goal, heartbeat, subgoal, 
getattr	个	chapters/r7b-platform-integration.md:821	3	notes/r8b-raw-cli-dispatch.md:1460	1	优雅降级是真的,但那三个的降级实现在**调用点的类型探测**——调用方自己 `getattr` 探一下	`cli.py:11191-11194` 的注释点出一个真实测试陷阱:`getattr` 真值判断会被 MagicMock 的自动属性骗过(MagicMock 的任意属性都是真值),所以必须写成 `is True or isinstance
session_id	个	chapters/r7c-gateway-periphery-and-scheduling.md:430	7	notes/r8b-raw-cli-dispatch.md:1490	1	**七个,一个都不存在。** 于是落盘文件里永远没有 `session_id`,	`_compress_context` 会**结束旧 session 并在 agent 上建一个子 session**,CLI 必须跟着换 `self.session_id`,否则后续 `end_session()` 打在已关闭的父 ses
None	个	chapters/r8a-configuration-surface.md:295	1	notes/r8b-raw-cli-dispatch.md:1728	3	所有下游都会崩。所以 `None` 覆盖一个字典默认值时**被当作没写**。	- **为什么可疑**:函数契约是 `-> bool`,`True` = 继续、`False` = 退出;裸 `return` 产出 `None`,而三个调用点全部用 falsy 判定(`cli.py:7078`、`cli.py:15390
None	个	chapters/r8a-configuration-surface.md:1628	1	notes/r8b-raw-cli-dispatch.md:1728	3	环境里没有 `None`,只有"不存在"和"空串",而 `.env` 里写 `KEY=` 正是大家取消一个变量的方式。**	- **为什么可疑**:函数契约是 `-> bool`,`True` = 继续、`False` = 退出;裸 `return` 产出 `None`,而三个调用点全部用 falsy 判定(`cli.py:7078`、`cli.py:15390
busy_policy	个	chapters/r7c-gateway-periphery-and-scheduling.md:162	1	notes/r8b-raw-cli-dispatch.md:1802	18	每条声明别名、是否仅 CLI、是否仅网关、以及一个关键字段 **`busy_policy`**	- **为什么可疑**:注册表被宣传为"单一事实源、下游自动派生"(`AGENTS.md:385`),但 `busy_policy` 这一维在 CLI 侧完全未接线;18 个声明为 dispatch 的 CLI 可见命令里只有 2 个真正内
busy_policy	个	chapters/r7c-gateway-periphery-and-scheduling.md:167	3	notes/r8b-raw-cli-dispatch.md:1802	18	`busy_policy` 只有三个取值,却是整个控制面的核心:`reject`(69 条,忙时直接拒绝)、	- **为什么可疑**:注册表被宣传为"单一事实源、下游自动派生"(`AGENTS.md:385`),但 `busy_policy` 这一维在 CLI 侧完全未接线;18 个声明为 dispatch 的 CLI 可见命令里只有 2 个真正内
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-cli-init-render.md:72	1	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	`HermesCLI` 本身不是"一个类"，是三个 mixin 的挂载点。本段只覆盖 `cli.py` 内定义的方法体，
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-cli-init-render.md:72	1	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	`HermesCLI` 本身不是"一个类"，是三个 mixin 的挂载点。本段只覆盖 `cli.py` 内定义的方法体，
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-cli-module.md:13	13	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	分布在 13 个文件(`cli.py` 为主,另含 `agent/usage_pricing.py`、`hermes_cli/*`、`tools/*`、
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-cli-module.md:13	13	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	分布在 13 个文件(`cli.py` 为主,另含 `agent/usage_pricing.py`、`hermes_cli/*`、`tools/*`、
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-cli-runloop.md:16	1	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	| 2 | 「`cli.py` 的 `main()` 是进程入口」 | **假(但不是"没人调用")** | 打包入口是 `hermes_cli.main:main`;它经 `cmd_chat` **以关键字参数调用** `cli.main
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-cli-runloop.md:16	1	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	| 2 | 「`cli.py` 的 `main()` 是进程入口」 | **假(但不是"没人调用")** | 打包入口是 `hermes_cli.main:main`;它经 `cmd_chat` **以关键字参数调用** `cli.main
except	个	chapters/r7-gateway-session-core.md:725	1	notes/r8b-raw-cli-runloop.md:149	57	被一个 debug 级的 `except` 吞掉。这是"**能力探测靠抛异常 + 宽捕获**"这种写法的典型反例:	57 个 `except` 的分布(说明这段代码的"防御姿态"):
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-cli-runloop.md:646	1	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	`send_sigint` 把 `Keys.SIGINT`(即 `"<sigint>"`)喂进按键处理器。而 `cli.py` **从未绑定 `Keys.SIGINT`**(39 处 `kb.add` 里没有它),于是落到 pt 的默认绑定
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-cli-runloop.md:646	1	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	`send_sigint` 把 `Keys.SIGINT`(即 `"<sigint>"`)喂进按键处理器。而 `cli.py` **从未绑定 `Keys.SIGINT`**(39 处 `kb.add` 里没有它),于是落到 pt 的默认绑定
session_id	个	chapters/r7c-gateway-periphery-and-scheduling.md:430	7	notes/r8b-raw-cli-runloop.md:1541	1	**七个,一个都不存在。** 于是落盘文件里永远没有 `session_id`,	`_active_agent_ref.session_id` 无保护;若 `_active_agent_ref` 是一个没有 `session_id` 的替身,`AttributeError` 会跳过后面的 memory provider 
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-cli-runloop.md:1950	7	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	7 个测试全绿,证明的是"这个函数的分支逻辑对",而不是"这个函数会跑"。(顺带:`CLI._run_interactive` 这个方法名在 `cli.py` 里不存在,`grep -c "_run_interactive" cli.py`
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-cli-runloop.md:1950	7	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	7 个测试全绿,证明的是"这个函数的分支逻辑对",而不是"这个函数会跑"。(顺带:`CLI._run_interactive` 这个方法名在 `cli.py` 里不存在,`grep -c "_run_interactive" cli.py`
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-cli-runloop.md:2076	1	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	**触发条件** 需要一个从 `chat()` 或某个 slash handler 逃逸的 `BaseException`。`cli.py` 内部的 `sys.exit` 都在 `main()` 里(18233/18238/18326/18
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-cli-runloop.md:2076	1	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	**触发条件** 需要一个从 `chat()` 或某个 slash handler 逃逸的 `BaseException`。`cli.py` 内部的 `sys.exit` 都在 `main()` 里(18233/18238/18326/18
False	次	chapters/r2-turn-loop-and-model-access.md:149	2	notes/r8b-raw-cli-runloop.md:2363	1	一次是初始化为 `False`、两次是消费为 `False`。	- `process_command()` 与本段的契约:返回 `False` 表示"退出会话"(17468、15390);可通过 `_pending_agent_seed` 让一次 slash 之后直接接一个 agent turn(174
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-mixins.md:130	3	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	**(a) 循环 —— 确实没有循环,但只是因为顺序刚好。** `cli.py` 在第 54–56 行导入三个 mixin:
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-mixins.md:130	3	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	**(a) 循环 —— 确实没有循环,但只是因为顺序刚好。** `cli.py` 在第 54–56 行导入三个 mixin:
getattr	个	chapters/r7b-platform-integration.md:821	3	notes/r8b-raw-mixins.md:223	59	优雅降级是真的,但那三个的降级实现在**调用点的类型探测**——调用方自己 `getattr` 探一下	`__init__` 兜底,后者靠 handler 内部的 `getattr`/`hasattr` 兜底,而这两套兜底在 59 个方法里**并不一致**
getattr	个	chapters/r7b-platform-integration.md:821	3	notes/r8b-raw-mixins.md:234	2	优雅降级是真的,但那三个的降级实现在**调用点的类型探测**——调用方自己 `getattr` 探一下	它的三个读点里,两个是"先写后读"(同一函数内),一个用了 `getattr` 兜底:
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-mixins.md:259	35	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	三个 mixin 里 `self.X()` 形式的调用,有 **35 个** 的定义体不在这三个文件里,而在 `cli.py` 的
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-mixins.md:259	35	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	三个 mixin 里 `self.X()` 形式的调用,有 **35 个** 的定义体不在这三个文件里,而在 `cli.py` 的
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-mixins.md:277	35	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	(全部 35 个都能在 `cli.py` 的 `HermesCLI` 里找到定义,没有解析不到的;这一点我验证过。)
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-mixins.md:277	35	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	(全部 35 个都能在 `cli.py` 的 `HermesCLI` 里找到定义,没有解析不到的;这一点我验证过。)
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-mixins.md:280	33	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	"跨文件隐式接口"**。加上 33 个 lazy 导入的 `cli` 模块级符号,三个 mixin 对 `cli.py` 的依赖面是
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-mixins.md:280	33	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	"跨文件隐式接口"**。加上 33 个 lazy 导入的 `cli` 模块级符号,三个 mixin 对 `cli.py` 的依赖面是
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-mixins.md:555	3	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	**它解决的问题是真实的**:`cli.py` 在第 54 行 import 三个 mixin;若 mixin 在模块顶层写
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-mixins.md:555	3	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	**它解决的问题是真实的**:`cli.py` 在第 54 行 import 三个 mixin;若 mixin 在模块顶层写
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-mixins.md:562	33	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	1. **接口没有被声明。** 33 个符号散落在 36 个方法体里,任何一次 `cli.py` 重命名都只能在运行时炸,
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-mixins.md:562	33	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	1. **接口没有被声明。** 33 个符号散落在 36 个方法体里,任何一次 `cli.py` 重命名都只能在运行时炸,
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-mixins.md:1137	3	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	这三个是 commands mixin 里少数**不依赖 `cli.py` 兄弟方法之外还有清晰内聚**的。
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-mixins.md:1137	3	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	这三个是 commands mixin 里少数**不依赖 `cli.py` 兄弟方法之外还有清晰内聚**的。
except	个	chapters/r7-gateway-session-core.md:725	1	notes/r8b-raw-mixins.md:1503	2	被一个 debug 级的 `except` 吞掉。这是"**能力探测靠抛异常 + 宽捕获**"这种写法的典型反例:	对照 `_print_nous_credits_block:37-43` 把两个符号**一起**包进 `try`(并在 `except` 里把
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-mixins.md:1879	35	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	| ▲3 | "All methods use only ``self`` state plus the imports above and per-method lazy ``from cli import ...``" | `herme
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-mixins.md:1879	35	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	| ▲3 | "All methods use only ``self`` state plus the imports above and per-method lazy ``from cli import ...``" | `herme
cli.py	个	chapters/r8a-configuration-surface.md:325	2	notes/r8b-raw-mixins.md:2000	35	第二个装载器在 `cli.py`(交互式命令行和终端界面走它),它自带**另一份默认值字面量**:	- `cli.py` 里那 35 个被 mixin 反向调用的兄弟方法,本段只列了名字,没有精读。特别是
cli.py	个	chapters/r8a-configuration-surface.md:421	89	notes/r8b-raw-mixins.md:2000	35	**"集体"不是修辞。** 把 `cli.py` 那份默认值展开是 **89 个键**,与 `DEFAULT_CONFIG` 求差,	- `cli.py` 里那 35 个被 mixin 反向调用的兄弟方法,本段只列了名字,没有精读。特别是
False	次	chapters/r2-turn-loop-and-model-access.md:148	1	notes/r8b-raw-subcommands.md:1565	3	--include=*.py`,全仓,不排除任何目录;`tests/` 下另有一处只是断言它为 `False`):一次是上面这个读、	（`cron.py` 挂了 3 次：`cron_run`、`cron_tick`、`cron_parser`），若默认值是 `False`，
False	次	chapters/r2-turn-loop-and-model-access.md:149	1	notes/r8b-raw-subcommands.md:1565	3	一次是初始化为 `False`、两次是消费为 `False`。	（`cron.py` 挂了 3 次：`cron_run`、`cron_tick`、`cron_parser`），若默认值是 `False`，
HERMES_HOME	个	chapters/r8a-configuration-surface.md:343	2	notes/r8b-raw-subcommands.md:2585	1	这不是纸上推演。同一个 `HERMES_HOME`,同一份只设了两个嵌套叶子键的 `config.yaml`:	它是 hermes 多实例隔离的全部机制：不传 context、不做依赖注入，靠 `HERMES_HOME` 一个变量
config.yaml	个	chapters/r8a-configuration-surface.md:18	6	notes/r8c-11-hr8fixa-guard-parse-check.md:69	1	3. 但**同一份 `config.yaml` 有六个读取函数**(本轮清点为五个,R8B 补上了启动最早期的	`config.yaml`——第一个字节当然读得出来。守卫防的是"读不到",而事故是"读得到但解析不了"。
config.yaml	个	chapters/r8a-configuration-surface.md:25	2	notes/r8c-11-hr8fixa-guard-parse-check.md:69	1	两个系统之间的桥还是**双向**的:`config.yaml` 的顶层标量会反过来变成环境变量。	`config.yaml`——第一个字节当然读得出来。守卫防的是"读不到",而事故是"读得到但解析不了"。
config.yaml	个	chapters/r8a-configuration-surface.md:343	2	notes/r8c-11-hr8fixa-guard-parse-check.md:69	1	这不是纸上推演。同一个 `HERMES_HOME`,同一份只设了两个嵌套叶子键的 `config.yaml`:	`config.yaml`——第一个字节当然读得出来。守卫防的是"读不到",而事故是"读得到但解析不了"。
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:129	2	notes/r8c-11-hr8fixa-guard-parse-check.md:69	1	上一轮(R8A)的结论是:同一份 `config.yaml` 被两个装载器读,合并语义不一样。	`config.yaml`——第一个字节当然读得出来。守卫防的是"读不到",而事故是"读得到但解析不了"。
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:191	4	notes/r8c-11-hr8fixa-guard-parse-check.md:69	1	四个消费面实跑对照(全新安装,没有 `config.yaml`):	`config.yaml`——第一个字节当然读得出来。守卫防的是"读不到",而事故是"读得到但解析不了"。
config.yaml	个	chapters/r8b-cli-trunk-and-interaction.md:552	5	notes/r8c-11-hr8fixa-guard-parse-check.md:69	1	- **◇-R8B-b** `config.yaml` 的读取函数应从上一轮的**五个**更正为**六个**;第六个是启动最早期的 `_config_default_interface_early`(`hermes_cli/main.py:	`config.yaml`——第一个字节当然读得出来。守卫防的是"读不到",而事故是"读得到但解析不了"。
config.yaml	个	chapters/r8a-configuration-surface.md:18	6	notes/r8c-11-hr8fixa-guard-parse-check.md:209	5	3. 但**同一份 `config.yaml` 有六个读取函数**(本轮清点为五个,R8B 补上了启动最早期的	| R8B「五个裸写点、四个 fail-closed」未逐点复核 | `hermes_cli/config.py:3611`、`:4995`、`:5123`、`hermes_cli/credential_lifecycle.py:174` 
