# 语料快照 : 8d6bac6  文件 276 份  剔除前缀 ('r11c-',)
# 撞号     : 39 号 / 100 实体
# 带处置语 : 23 号出现过 STRONG 处置语(结清/关闭/证伪/改判/…)
	cid	entities	entity_idx	mint_file	mint_line	anchor_files	mint_text
VERDICT-STRONG	H-R9A-g	2	-	notes/r9d-91-handover-rulings.md	769	关闭	| **H-R9A-g** | `AGENTS.md:966`:`All toolsets are defined in ` | **关闭**。R9A 的「漏 28」改正为 **31**;**主线初判被推翻**——按定稿快照(集合严格相等)拆为 24 平台族 **◇** + 7 能力 toolset **▲**;R9A 锚点 `971-974` 改正为 `971-975`(原范围漏一整行 8 个键
VERDICT-STRONG	H-R9A-g	2	-	reports/round-9d-l1-completion.md	154	关闭	| **H-R9A-g** | **关闭**;**主线初判被推翻并更正** |
MINT	H-R9B-1	2	1	notes/r9b-raw-pet.md	1389	hermes_cli/pets.py	| H-R9B-1 | `hermes_cli/pets.py:182`:`states = [s for s in STATE_ROWS if s in {e.value for e in PetState}]` | `--cycle` 实测只产出 `['idle','failed','waiti
MINT	H-R9B-1	2	2	notes/r9b-raw-voicein.md	1798	tools/voice_mode.py	**H-R9B-1(必做,■-1 的收口)** ——
MINT	H-R9B-2	2	1	notes/r9b-raw-pet.md	1390	agent/pet/generate/imagegen.py	| H-R9B-2 | `agent/pet/generate/imagegen.py:4`:`two things sprite generation needs that the agent-facing ``image_generate`` tool` | docstring 称 agent 
MINT	H-R9B-2	2	2	notes/r9b-raw-voicein.md	1806	hermes_cli/config_defaults.py,tools/wake_word.py	**H-R9B-2** —— `tools/wake_word.py:75`:`_DEFAULTS: Dict[str, Any] = {`
MINT	H-R9B-3	2	1	notes/r9b-raw-pet.md	1391	tests/agent/test_pet_generate.py	| H-R9B-3 | `tests/agent/test_pet_generate.py:14`:`pytestmark = pytest.mark.skipif(` | 覆盖 atlas 全流水线的 11 条用例默认整文件跳过,CI 常态不跑 | 查 `.github/workflows/**`
MINT	H-R9B-3	2	2	notes/r9b-raw-voicein.md	1812	tools/voice_mode.py	**H-R9B-3** —— `tools/voice_mode.py:1736`:`def listen_for_speech(`(第一代 barge-in)
VERDICT-WEAK	H-R9B-3	2	-	notes/r9b-raw-pet.md	1122	移交	(见移交项 H-R9B-3)。
MINT	H-R9B-4	2	1	notes/r9b-raw-pet.md	1392	agent/pet/render.py	| H-R9B-4 | `agent/pet/render.py:340`:`_ROWCOL_DIACRITICS: tuple[int, ...] = (` | 297 个码点的 kitty 变音符号表逐字抄进仓库,占 render.py 的 4.6% | 若做"外部规范内联"专题,可与其它抄表处
MINT	H-R9B-4	2	2	notes/r9b-raw-voicein.md	1817	tools/transcription_tools.py	**H-R9B-4** —— `tools/transcription_tools.py:112`:`DEFAULT_STT_MODEL = os.getenv("STT_OPENAI_MODEL", "whisper-1")`
MINT	H-R9B-5	2	1	notes/r9b-raw-pet.md	1393	agent/pet/store.py	| H-R9B-5 | `agent/pet/store.py:218`:`while (pets_dir() / slug).exists():` | `unique_slug` 与 `register_local_pet` 之间是 TOCTOU:两次并发 hatch 同名概念会撞到同一个 slu
MINT	H-R9B-5	2	2	notes/r9b-raw-voicein.md	1822	tools/voice_mode.py	**H-R9B-5** —— `tools/voice_mode.py:1813`(■-2 的残句注释)。
MINT	H-R9B-a	4	1	notes/r9b-raw-tts.md	1741	tools/tts_tool.py	| H-R9B-a | `tools/tts_tool.py:2703`:`conv_cmd = [ffmpeg, "-i", wav_path, "-y", "-loglevel", "error", output_path]` | ■-2 的 Vorbis 推定**未实测**(本容器 `whic
MINT	H-R9B-a	4	2	notes/r9b-raw-video.md	2845	website/docs/developer-guide/video-gen-provider-plugin.md	### H-R9B-a:开发者文档"网关会在交付时解析远程 URL"这句话未定真伪
MINT	H-R9B-a	4	3	reports/round-9b-multimodal-delivery.md	451	tools/voice_mode.py	| **H-R9B-a** | R9C/R9D 任一 | `tools/voice_mode.py:2193` 的 `native_stt_available` | 同一份内置 STT 名单全仓三份、漂了一份;修法是 import 权威集合而非再抄一遍,顺带查全仓还有多少处同型硬编码名单 |
MINT	H-R9B-a	4	4	reports/round-9c-external-interfaces.md	234	tools/transcription_tools.py	**H-R9B-a 的改述**:移交项说"病因是抄了一份,修法是 import 权威集合"。**不准确。**
VERDICT-STRONG	H-R9B-a	4	-	notes/r11b-raw-rulings-census.md	781	关闭	| 「H-R9B-a 病因是抄了一份,修法是 import 权威集合」 | `notes/r9c-90-handover-rulings.md:257`:`## 2. H-R9B-a:关闭,但病因要改述` | `native_stt_available` / `BUILTIN_STT_PROVIDERS` 在 R9D 及以后 | **0 命中** |
VERDICT-STRONG	H-R9B-a	4	-	notes/r9b-raw-tts.md	1741	定案	| H-R9B-a | `tools/tts_tool.py:2703`:`conv_cmd = [ffmpeg, "-i", wav_path, "-y", "-loglevel", "error", output_path]` | ■-2 的 Vorbis 推定**未实测**(本容器 `which ffmpeg` 为空);任何有 ffmpeg 的环境跑一次 `ffprobe` 即可定案:neu
VERDICT-WEAK	H-R9B-a	4	-	notes/r9b-raw-video.md	2560	移交	第三句后半 "the gateway resolves remote URLs on delivery" 的真伪**未定**,见 §6 移交项 H-R9B-a。
VERDICT-STRONG	H-R9B-a	4	-	notes/r9c-90-handover-rulings.md	12	关闭	| **H-R9B-a** | R9B 移交(「R9C/R9D 任一」) | **关闭并改述**:病因不是「抄了一份」,而是**守卫装在了没漂的那两份上** |
VERDICT-STRONG	H-R9B-a	4	-	notes/r9c-90-handover-rulings.md	257	关闭	## 2. H-R9B-a:关闭,但病因要改述
VERDICT-STRONG	H-R9B-a	4	-	reports/round-9c-external-interfaces.md	230	关闭	| **H-R9B-a**(STT 名单三份漂一份) | **关闭并改述** |
VERDICT-WEAK	H-R9B-a	4	-	reports/round-9c-external-interfaces.md	234	移交	**H-R9B-a 的改述**:移交项说"病因是抄了一份,修法是 import 权威集合"。**不准确。**
MINT	H-R9B-b	3	1	notes/r9b-raw-tts.md	1742	tests/tools/test_tts_streaming.py	| H-R9B-b | `tests/tools/test_tts_streaming.py:20`:`pytest.importorskip("numpy")` | 流式 TTS 唯一的单元测试文件在只装 `[dev]` 的环境里 **0 用例执行**,门禁仍显示 0 failed;下一轮若要把流
MINT	H-R9B-b	3	2	notes/r9b-raw-video.md	2859	agent/video_gen_registry.py	### H-R9B-b:`register_provider` 不 strip name,而 `get_provider` strip
MINT	H-R9B-b	3	3	reports/round-9b-multimodal-delivery.md	452	tools/tts_tool.py	| **H-R9B-b** | R9C/R9D 任一 | `tools/tts_tool.py:1665` 的 `_XAI_SPEECH_TAG_RE` | 包裹型标签只认尖括号而提示词禁止尖括号;现有测试只钉住尖括号那一支,故一直是绿的 |
VERDICT-STRONG	H-R9B-b	3	-	notes/r9c-90-handover-rulings.md	13	关闭	| **H-R9B-b** | R9B 移交(「R9C/R9D 任一」) | **关闭**:唯一相关测试只钉尖括号那一支,已逐字取证 |
VERDICT-STRONG	H-R9B-b	3	-	notes/r9c-90-handover-rulings.md	415	关闭	## 3. H-R9B-b:关闭
VERDICT-STRONG	H-R9B-b	3	-	reports/round-9c-external-interfaces.md	231	关闭	| **H-R9B-b**(xAI 语音标签只认尖括号) | **关闭** |
MINT	H-R9B-c	3	1	notes/r9b-raw-tts.md	1743	tools/tts_tool.py	| H-R9B-c | `tools/tts_tool.py:774`:`voice = tts_config.get("voice") if isinstance(tts_config, dict) else None` | ◇-2:TTS 插件从**顶层** `tts.voice/model/s
MINT	H-R9B-c	3	2	notes/r9b-raw-video.md	2867	tools/video_generation_tool.py,tools/xai_video_tools.py	### H-R9B-c:`video_gen` 的可见性门与 `xai_video_edit/extend` 的可见性门可以互相矛盾
MINT	H-R9B-c	3	3	reports/round-9b-multimodal-delivery.md	453	tools/image_generation_tool.py	| **H-R9B-c** | R9C/R9D 任一 | `tools/image_generation_tool.py:642` 的 `payload["image_urls"] = list(image_urls)` | schema 承诺可传本地绝对路径,默认后端 FAL 原样透传不读文件;「
VERDICT-STRONG	H-R9B-c	3	-	notes/r9c-90-handover-rulings.md	14	关闭	| **H-R9B-c** | R9B 移交(「R9C/R9D 任一」) | **关闭并加重**;剩余推定部分**在本项目内结构性不可解**,不再续转 |
VERDICT-STRONG	H-R9B-c	3	-	notes/r9c-90-handover-rulings.md	433	关闭	## 4. H-R9B-c:关闭并加重
VERDICT-STRONG	H-R9B-c	3	-	reports/round-9c-external-interfaces.md	232	关闭	| **H-R9B-c**(image schema 承诺本地路径) | **关闭并加重**;剩余推定判为本项目内结构性不可解 |
MINT	H-R9B-d	2	1	notes/r10-90-handover-rulings.md	83	gateway/relay/media.py	**一条 H-R9B-d,去向 R9C(网关片),主线判为真孤儿但不属 R10。**
MINT	H-R9B-d	2	1	notes/r10b-90-handover-rulings.md	345	gateway/relay/media.py	| H-R9B-d | R11A | `gateway/relay/media.py:94` 的 `is_relay_media_url` —— 复核:解析得到,行号正确 |
MINT	H-R9B-d	2	1	notes/r11a-90-handover-rulings.md	20	gateway/relay/media.py	| **H-R9B-d** 中继媒体 bearer | **证实,升为 ■-R11A-01** | `gateway/relay/media.py:94` 的 `return "/relay/media/" in (url or "")` |
MINT	H-R9B-d	2	1	reports/round-10-client-interface-layer.md	527	gateway/relay/media.py	| **H-R9B-d**(改判后续转) | R11A | `gateway/relay/media.py:94` 的 `is_relay_media_url` | 去向原写 R9C 但四个 R9 轮次均未处置,确认为真孤儿;与同处代码的 H-R9C-d 同轮做 |
MINT	H-R9B-d	2	1	reports/round-11a-ops-and-delivery.md	494	gateway/relay/media.py	- **■-R11A-01**(由 H-R9B-d 升格):`gateway/relay/media.py:94` 用**子串**决定要不要带
MINT	H-R9B-d	2	1	reports/round-9b-multimodal-delivery.md	454	gateway/relay/media.py	| **H-R9B-d** | R9C(网关片) | `gateway/relay/media.py:94` 的 `"/relay/media/" in (url or "")` | 网关 bearer 的发送判定用子串不比主机,`url` 来自未校验的入站帧;正确比较值 `self._base_u
MINT	H-R9B-d	2	2	notes/r9b-raw-tts.md	1744	tools/tts_tool.py	| H-R9B-d | `tools/tts_tool.py:1666`:`r"(\[(?:" + "|".join(_XAI_INLINE_SPEECH_TAGS) + r")\]|</?(?:" + "|".join(_XAI_WRAPPING_SPEECH_TAGS) + r")>)",` |
VERDICT-WEAK	H-R9B-d	2	-	notes/r10-90-handover-rulings.md	83	去向	**一条 H-R9B-d,去向 R9C(网关片),主线判为真孤儿但不属 R10。**
VERDICT-STRONG	H-R9B-d	2	-	notes/r11b-92-fix-regression-correction.md	19	改判	| **H-R9A-a** = **H-R9B-d** | R9A 移交(去向写「R9C 或立即」),R9B 已取证 | **改判:维持 ■,但移交项给的修法不足以修好它**;正确修法已在仓库内,实测有效 |
VERDICT-STRONG	H-R9B-d	2	-	notes/r11b-92-fix-regression-correction.md	161	升格/定案	`■-R11A-01` 的立项路径是 **H-R9B-d 升格**。而 H-R9B-d 在 R9C 已被并入 H-R9A-a 并一起定案
VERDICT-STRONG	H-R9B-d	2	-	notes/r11b-raw-rulings-census.md	38	改判	4. **A-2 的成因就是 A-1**:R9C 把改判归档在 `H-R9A-a` 名下(并当场声明 `H-R9A-a` = `H-R9B-d`),
VERDICT-WEAK	H-R9B-d	2	-	notes/r11b-raw-rulings-census.md	39	移交	R10 / R10B 只把 `H-R9B-d` 这个号转下去,R11A 拿着 `H-R9B-d` 回到 R9B 的移交表取原始表述,
VERDICT-WEAK	H-R9B-d	2	-	notes/r11b-raw-rulings-census.md	231	移交	R9B  H-R9B-d     reports/round-9b-multimodal-delivery.md:454       移交表,锚 media.py:94(重新铸号)
VERDICT-STRONG	H-R9B-d	2	-	notes/r11b-raw-rulings-census.md	232	改判	R9C  (改判)      notes/r9c-90-handover-rulings.md:11               表头写「H-R9A-a = H-R9B-d」
VERDICT-STRONG	H-R9B-d	2	-	notes/r11b-raw-rulings-census.md	233	升格	R11A ■-R11A-01   reports/round-11a-ops-and-delivery.md:494         「由 H-R9B-d 升格」
VERDICT-STRONG	H-R9B-d	2	-	notes/r11b-raw-rulings-census.md	238	定案	**一条「既定案又移交」的条目天然拿两个号**。R9C 在表头声明过 `H-R9A-a` = `H-R9B-d`:
VERDICT-STRONG	H-R9B-d	2	-	notes/r11b-raw-rulings-census.md	242	改判	> | **H-R9A-a** = **H-R9B-d** | R9A 移交(去向写「R9C 或立即」),R9B 已取证 | **改判:维持 ■,但移交项给的修法不足以修好它**;正确修法已在仓库内,实测有效 |
VERDICT-STRONG	H-R9B-d	2	-	notes/r11b-raw-rulings-census.md	685	证伪/升格	**R11A 怎么覆盖的。** R11A 把 `H-R9B-d` 升格为 `■-R11A-01`,正文重新把被证伪的那半句写成结论:
VERDICT-STRONG	H-R9B-d	2	-	notes/r11b-raw-rulings-census.md	797	改判	1. **R9C** 把改判归档在 `H-R9A-a` 名下,并在同一行声明 `H-R9A-a` = `H-R9B-d`。
VERDICT-STRONG	H-R9B-d	2	-	notes/r11b-raw-rulings-census.md	798	结清/已结	2. **R10** 在同一张表的**相邻两行**里,一行说 `H-R9A-a` 已结清、另一行说 `H-R9B-d` 是真孤儿:
VERDICT-WEAK	H-R9B-d	2	-	notes/r11b-raw-rulings-census.md	809	移交	4. **R11A** 拿着 `H-R9B-d` 回到 **R9B 的移交表**取原始表述(「正确比较值 `self._base_url`
VERDICT-STRONG	H-R9B-d	2	-	notes/r11b-raw-rulings-census.md	821	改判/升格	点明 `■-R11A-01` 由 `H-R9B-d` 升格,而 `H-R9B-d` 已由 R9C 与 `H-R9A-a` 并案并改判过;
VERDICT-STRONG	H-R9B-d	2	-	notes/r9c-90-handover-rulings.md	11	改判	| **H-R9A-a** = **H-R9B-d** | R9A 移交(去向写「R9C 或立即」),R9B 已取证 | **改判:维持 ■,但移交项给的修法不足以修好它**;正确修法已在仓库内,实测有效 |
VERDICT-STRONG	H-R9B-d	2	-	reports/round-10-client-interface-layer.md	527	改判	| **H-R9B-d**(改判后续转) | R11A | `gateway/relay/media.py:94` 的 `is_relay_media_url` | 去向原写 R9C 但四个 R9 轮次均未处置,确认为真孤儿;与同处代码的 H-R9C-d 同轮做 |
VERDICT-STRONG	H-R9B-d	2	-	reports/round-11a-ops-and-delivery.md	494	升格	- **■-R11A-01**(由 H-R9B-d 升格):`gateway/relay/media.py:94` 用**子串**决定要不要带
VERDICT-STRONG	H-R9B-d	2	-	reports/round-11b-review-and-reconciliation.md	153	改判	**其一是其二的成因。** R9C 把改判归档在 `H-R9A-a` 名下(并当场声明 = `H-R9B-d`);
VERDICT-STRONG	H-R9B-d	2	-	reports/round-11b-review-and-reconciliation.md	155	结清/已结	一行说 `H-R9A-a` 已结清、下一行说 `H-R9B-d` 是真孤儿;R11A 拿 `H-R9B-d` 回 R9B 移交表
MINT	H-R9B-e	3	1	notes/r11a-90-handover-rulings.md	22	tests/gateway/test_teams.py	| **H-R9B-e** 缺 extra 表现为断言失败 | **证实,并找到第二例** | `tests/gateway/test_teams.py:173` 的 `assert _teams_mod.check_teams_requirements() is True` |
MINT	H-R9B-e	3	2	notes/r9b-raw-tts.md	1745	tools/tts_tool.py	| H-R9B-e | `tools/tts_tool.py:3522`:`_spoken_sentences: list[str] = []  # track spoken sentences to skip duplicates` | 观察项:流式去重表无上界、永久丢弃重复句;未评估长会话下的实
MINT	H-R9B-e	3	3	reports/round-9b-multimodal-delivery.md	455	pyproject.toml	| **H-R9B-e** | R11A | `pyproject.toml:167` 的 `fal = ["fal-client==0.13.1"]` | 缺 extra 在本簇表现为**普通断言失败**而非收集期 ImportError,比 H-R8D-j 已知的形态更隐蔽 |
VERDICT-WEAK	H-R9B-e	3	-	reports/round-9b-multimodal-delivery.md	461	续转	| **H-R8D-j**(续转) | R11A | `pyproject.toml:36` 的 `` `exa-py`, `fal-client`, `edge-tts` `` 一句 | `pip install -e ".[dev]"` 装不出全绿套件;本轮新增 H-R9B-e 那个更隐蔽的形态 |
VERDICT-WEAK	H-R9B-e	3	-	reports/round-9c-external-interfaces.md	418	续转	| **H-R8D-j / H-R9B-e**(续转) | R11A | `pyproject.toml` 的 extra 定义 | `pip install -e ".[dev]"` 装不出全绿套件;本轮新增一个形态:`importorskip` 导致**整文件静默不跑**而计数仍显示全绿 |
VERDICT-WEAK	H-R9B-e	3	-	reports/round-9d-l1-completion.md	445	续转	| **H-R8D-j / H-R9B-e**(续转) | R11A | `pyproject.toml:157`:`[project.optional-dependencies]`(`dev` 在 `:175`,`python-telegram-bot` 在 `:176` 的 `messaging`) | `pip install -e ".[dev]"` 装不出全绿套件;本轮新增形态:`imp
MINT	H-R9B-f	2	1	notes/r9b-raw-tts.md	1746	website/docs/user-guide/features/tts.md	| H-R9B-f | `website/docs/user-guide/features/tts.md:39`:`| WhatsApp | Audio file attachment | MP3 |` | ▲-1 只核到了 TTS 工具这一侧(生成 `.ogg` + 打 `[[audio_as_v
MINT	H-R9B-f	2	2	reports/round-9b-multimodal-delivery.md	456	tools/tts_tool.py	| **H-R9B-f** | R11 复盘 | `tools/tts_tool.py:2703` 的 `ffmpeg` 调用 | `.ogg` 目标下三处走裸 ffmpeg(默认 Vorbis),而 Gemini 分支显式加 `-acodec libopus`;**本容器无 ffmpeg,未实跑确
VERDICT-STRONG	H-R9B-f	2	-	reports/round-11b-review-and-reconciliation.md	361	关闭/不成立	| H-R9B-f | **维持推定,不关闭**。本容器无 ffmpeg 且本轮不扩共享环境;**不把"没跑成"写成"不成立"** |
VERDICT-WEAK	H-R9B-f	2	-	reports/round-9c-external-interfaces.md	419	续转	| **H-R9B-f / H-R9B-g**(续转) | R11 复盘 | 见 R9B 报告 §9 | 本轮已把 H-R9B-g 的纪律落地为开工杂项(实测开关有效),但"写进 CLAUDE.md"这一步仍待复盘轮裁定 |
